設問ID,書類ID,区分,不備理由,理由,記入方法,決定状況,決定者,決定日
書3-1,資格確認書,有効,,申請時点の医療保険資格そのものを証明する書類のため。,書3-1 の OK にチェック。,たたき台（要・管理者確認）,,
書3-1,資格情報のお知らせ,有効,,申請時点の医療保険資格そのものを証明する書類のため。,書3-1 の OK にチェック。,たたき台（要・管理者確認）,,
書3-1,マイナポータル保険PDF,有効,,申請時点の医療保険資格そのものを証明する書類のため。,書3-1 の OK にチェック。,たたき台（要・管理者確認）,,
書3-1,システム画面,要相談,,設問文に代用可の定めはあるが、代用してよい条件が未確定のため。,管理者の指示に従う。,未決定,,
書3-1,旧被保険者証,無効,無効書類,廃止済みで、申請時点の有効な資格を証明しないため。,書3-1 の NG にチェックし、不備欄へ記載。,たたき台（要・管理者確認）,,
書3-1,高齢受給者証,無効,無効書類,負担割合を示す書類であり、資格の証明ではないため。,書3-1 の NG にチェックし、不備欄へ記載。,たたき台（要・管理者確認）,,
書3-1,保険者医療費一覧,無効,無効書類,医療費の記録であり、資格の証明ではないため。,書3-1 の NG にチェックし、不備欄へ記載。,たたき台（要・管理者確認）,,
書3-1,未提出,無効,未提出,医療保険資料が提出されていないため。,書3-1 の NG にチェックし、不備欄へ記載。,たたき台（要・管理者確認）,,
書4-1,管理票,有効,,指定難病の公費適用分の自己負担累積を証明する書類のため。,書4-1 の OK にチェック。,たたき台（要・管理者確認）,,
書4-1,領収書,有効,,設問文に代替として定めがあるため。,書4-1 の OK にチェック。,たたき台（要・管理者確認）,,
書4-1,マイナポータル医療費,無効,無効書類,保険診療全体の記録であり、公費適用分を特定できないため。,書4-1 の NG にチェックし、不備欄へ記載。,たたき台（要・管理者確認）,,
書4-1,未提出,無効,未提出,管理票・領収書のいずれも提出されていないため。,書4-1 の NG にチェックし、不備欄へ記載。,たたき台（要・管理者確認）,,
